Customer_ID,Num_Bank_Accounts,Num_Credit_Card,Type_of_Loan,Credit_History_Age,Account_ID
CUS_0x37be,5,3,,30 Years and 3 Months,1557
CUS_0x7c0f,7,8,"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Auto Loan, and Credit-Builder Loan",19 Years and 11 Months,1558
CUS_0xc242,8,6,"Payday Loan, Mortgage Loan, Credit-Builder Loan, Personal Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",3 Years and 1 Months,1559
CUS_0xc4c3,5,6,Auto Loan,31 Years and 7 Months,1560
CUS_0x3ade,2,5,Home Equity Loan,27 Years and 2 Months,1561
CUS_0x5640,5,5,"Personal Loan, Personal Loan, Credit-Builder Loan, Student Loan, and Auto Loan",6 Years and 11 Months,1562
CUS_0x30d0,0,5,"Mortgage Loan, Home Equity Loan, Student Loan, and Credit-Builder Loan",15 Years and 3 Months,1563
CUS_0xac14,5,4,"Auto Loan, and Auto Loan",16 Years and 9 Months,1564
CUS_0x2d78,7,7,"Not Specified, Student Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, and Debt Consolidation Loan",10 Years and 9 Months,1565
CUS_0x9cc2,5,6,"Debt Consolidation Loan, and Home Equity Loan",20 Years and 9 Months,1566
CUS_0xa300,3,1,Mortgage Loan,25 Years and 4 Months,1567
CUS_0x5857,3,7,Mortgage Loan,27 Years and 2 Months,1568
CUS_0xb4c1,5,7,"Home Equity Loan, Credit-Builder Loan, Payday Loan, and Mortgage Loan",21 Years and 7 Months,1569
CUS_0x1b88,3,3,"Auto Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",22 Years and 3 Months,1570
CUS_0x8f45,7,4,Debt Consolidation Loan,25 Years and 1 Months,1571
CUS_0x1960,5,6,Home Equity Loan,23 Years and 4 Months,1572
CUS_0x2deb,3,7,"Student Loan, and Payday Loan",16 Years and 8 Months,1573
CUS_0x8ec,5,5,,26 Years and 8 Months,1574
CUS_0x5379,1,4,"Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",,1575
CUS_0xa1aa,6,6,"Not Specified, Not Specified, Auto Loan, Payday Loan, Personal Loan, Personal Loan, Payday Loan, and Auto Loan",4 Years and 7 Months,1576
CUS_0x93cd,6,3,Student Loan,26 Years and 9 Months,1577
CUS_0xa5b6,7,4,Not Specified,25 Years and 8 Months,1578
CUS_0xc81,3,3,"Payday Loan, and Personal Loan",17 Years and 10 Months,1579
CUS_0x71e8,7,6,"Auto Loan, Mortgage Loan, Mortgage Loan, Personal Loan, Student Loan, and Personal Loan",13 Years and 4 Months,1580
CUS_0x24cf,6,5,"Auto Loan, Auto Loan, Auto Loan, and Home Equity Loan",15 Years and 8 Months,1581
CUS_0x2984,5,7,,27 Years and 10 Months,1582
CUS_0x878d,4,3,"Not Specified, Personal Loan, and Home Equity Loan",26 Years and 11 Months,1583
CUS_0xdc2,7,7,"Mortgage Loan, Credit-Builder Loan, Student Loan, Payday Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",12 Years and 10 Months,1584
CUS_0x3cfe,2,4,"Debt Consolidation Loan, and Mortgage Loan",26 Years and 7 Months,1585
CUS_0x449b,7,9,"Home Equity Loan, Not Specified, Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, and Not Specified",13 Years and 10 Months,1586
CUS_0x8dc0,8,9,"Auto Loan, Payday Loan, and Debt Consolidation Loan",15 Years and 4 Months,1587
CUS_0x2625,6,6,"Personal Loan, Auto Loan, Mortgage Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",5 Years and 5 Months,1588
CUS_0x73ee,3,7,"Home Equity Loan, and Credit-Builder Loan",18 Years and 7 Months,1589
CUS_0xa90,4,7,Credit-Builder Loan,26 Years and 1 Months,1590
CUS_0x8167,4,4,Mortgage Loan,19 Years and 10 Months,1591
CUS_0x6ce,7,7,"Payday Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",,1592
CUS_0x530a,6,3,"Payday Loan, Student Loan, and Home Equity Loan",14 Years and 9 Months,1593
CUS_0xb92b,9,7,"Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, Not Specified, and Auto Loan",16 Years and 5 Months,1594
CUS_0x4b6a,4,7,"Not Specified, Not Specified, Auto Loan, and Home Equity Loan",19 Years and 7 Months,1595
CUS_0x6877,5,5,"Credit-Builder Loan, Payday Loan, Home Equity Loan, and Payday Loan",23 Years and 5 Months,1596
CUS_0x2ebb,6,4,"Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",16 Years and 9 Months,1597
CUS_0xaa27,8,4,"Home Equity Loan, and Payday Loan",14 Years and 2 Months,1598
CUS_0x7ca7,5,7,"Home Equity Loan, Personal Loan, Credit-Builder Loan, and Student Loan",27 Years and 11 Months,1599
CUS_0x4716,7,7,"Home Equity Loan, and Auto Loan",17 Years and 3 Months,1600
CUS_0x3e5a,7,4,"Credit-Builder Loan, Mortgage Loan, and Auto Loan",14 Years and 1 Months,1601
CUS_0x925f,7,6,"Mortgage Loan, Not Specified, Mortgage Loan, and Not Specified",5 Years and 10 Months,1602
CUS_0x9dfc,4,5,"Home Equity Loan, Not Specified, Not Specified, and Student Loan",27 Years and 2 Months,1603
CUS_0x1e8c,5,7,"Student Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",15 Years and 5 Months,1604
CUS_0x4d4d,6,5,"Personal Loan, Debt Consolidation Loan, and Mortgage Loan",18 Years and 8 Months,1605
CUS_0x71dd,0,5,Student Loan,32 Years and 8 Months,1606
CUS_0x7c68,4,5,"Payday Loan, Mortgage Loan, and Debt Consolidation Loan",31 Years and 1 Months,1607
CUS_0x925e,8,5,"Credit-Builder Loan, and Debt Consolidation Loan",,1608
CUS_0x3ebe,1,489,,31 Years and 11 Months,1609
CUS_0xb958,0,5,"Credit-Builder Loan, Not Specified, and Personal Loan",18 Years and 11 Months,1610
CUS_0x1a77,8,4,,19 Years and 7 Months,1611
CUS_0x8c8a,5,6,Credit-Builder Loan,15 Years and 7 Months,1612
CUS_0x992b,8,8,"Personal Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Personal Loan, and Auto Loan",12 Years and 11 Months,1613
CUS_0xb8be,5,6,"Student Loan, Auto Loan, and Home Equity Loan",8 Years and 9 Months,1614
CUS_0x5c7a,0,3,"Payday Loan, Auto Loan, Student Loan, and Not Specified",28 Years and 5 Months,1615
CUS_0x48d,8,3,Student Loan,20 Years and 10 Months,1616
CUS_0x5e19,3,212,,18 Years and 2 Months,1617
CUS_0x594e,7,5,"Personal Loan, Payday Loan, and Payday Loan",,1618
CUS_0x9e9a,7,5,,23 Years and 10 Months,1619
CUS_0xffc,6,8,"Credit-Builder Loan, Payday Loan, Not Specified, Student Loan, Student Loan, Home Equity Loan, Home Equity Loan, and Home Equity Loan",12 Years and 7 Months,1620
CUS_0x62ec,7,6,"Student Loan, Not Specified, Personal Loan, Student Loan, and Auto Loan",7 Years and 7 Months,1621
CUS_0x3592,8,3,"Mortgage Loan, Student Loan, and Student Loan",21 Years and 8 Months,1622
CUS_0x2a83,6,7,"Home Equity Loan, Student Loan, and Debt Consolidation Loan",28 Years and 4 Months,1623
CUS_0x67a4,6,5,"Personal Loan, Student Loan, and Debt Consolidation Loan",15 Years and 7 Months,1624
CUS_0x2189,7,7,"Home Equity Loan, and Debt Consolidation Loan",,1625
CUS_0x4640,9,10,"Debt Consolidation Loan, Home Equity Loan, Payday Loan, Not Specified, Payday Loan, Auto Loan, and Auto Loan",18 Years and 2 Months,1626
CUS_0x57a2,1,6,"Not Specified, Not Specified, Debt Consolidation Loan, and Credit-Builder Loan",24 Years and 10 Months,1627
CUS_0x4c9f,6,7,"Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, Personal Loan, and Mortgage Loan",,1628
CUS_0xe8d,9,8,"Payday Loan, and Student Loan",12 Years and 11 Months,1629
CUS_0x4ac9,2,4,"Debt Consolidation Loan, Credit-Builder Loan, and Credit-Builder Loan",15 Years and 2 Months,1630
CUS_0x707a,7,6,"Credit-Builder Loan, Personal Loan, and Mortgage Loan",18 Years and 2 Months,1631
CUS_0x6343,6,6,"Auto Loan, Debt Consolidation Loan, Student Loan, Debt Consolidation Loan, Student Loan, Home Equity Loan, Payday Loan, and Credit-Builder Loan",6 Years and 4 Months,1632
CUS_0x59e6,8,5,"Auto Loan, Debt Consolidation Loan, Auto Loan, and Mortgage Loan",15 Years and 10 Months,1633
CUS_0x286c,6,5,"Credit-Builder Loan, and Credit-Builder Loan",27 Years and 7 Months,1634
CUS_0x677a,0,3,"Mortgage Loan, and Student Loan",28 Years and 8 Months,1635
CUS_0x938f,3,3,"Home Equity Loan, Debt Consolidation Loan, and Personal Loan",22 Years and 11 Months,1636
CUS_0xb004,7,5,Debt Consolidation Loan,16 Years and 8 Months,1637
CUS_0x4518,6,3,"Auto Loan, Auto Loan, Credit-Builder Loan, and Debt Consolidation Loan",6 Years and 3 Months,1638
CUS_0x2b2c,4,1,Mortgage Loan,18 Years and 8 Months,1639
CUS_0x915,3,3,"Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",8 Years and 9 Months,1640
CUS_0x134d,5,7,"Auto Loan, Personal Loan, and Payday Loan",27 Years and 11 Months,1641
CUS_0x4e7a,3,3,"Credit-Builder Loan, Not Specified, and Not Specified",18 Years and 9 Months,1642
CUS_0xa31,5,5,Auto Loan,19 Years and 4 Months,1643
CUS_0x8c7b,6,4,"Credit-Builder Loan, and Not Specified",7 Years and 5 Months,1644
CUS_0x255d,6,10,"Mortgage Loan, Personal Loan, Student Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan, Not Specified, and Payday Loan",2 Years and 10 Months,1645
CUS_0x58b0,3,3,"Mortgage Loan, and Payday Loan",25 Years and 3 Months,1646
CUS_0x98fc,8,5,"Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",13 Years and 2 Months,1647
CUS_0x621,7,3,Auto Loan,31 Years and 9 Months,1648
CUS_0x9fcc,4,2,"Not Specified, Not Specified, Payday Loan, and Credit-Builder Loan",27 Years and 10 Months,1649
CUS_0x7526,5,6,"Home Equity Loan, Payday Loan, and Not Specified",32 Years and 10 Months,1650
CUS_0x4768,7,3,"Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",19 Years and 4 Months,1651
CUS_0xd73,8,7,"Mortgage Loan, Auto Loan, Student Loan, Student Loan, Personal Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",15 Years and 7 Months,1652
CUS_0x635a,3,4,Debt Consolidation Loan,24 Years and 4 Months,1653
CUS_0xa65f,8,7,"Not Specified, and Student Loan",24 Years and 9 Months,1654
CUS_0x7dd5,2,2,Mortgage Loan,21 Years and 2 Months,1655
CUS_0xb6eb,6,5,"Payday Loan, Credit-Builder Loan, Payday Loan, and Personal Loan",,1656
CUS_0x480c,7,7,"Home Equity Loan, Not Specified, Auto Loan, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",9 Years and 7 Months,1657
CUS_0xad0b,2,4,"Debt Consolidation Loan, and Debt Consolidation Loan",26 Years and 8 Months,1658
CUS_0x2faa,9,6,"Not Specified, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, Not Specified, and Not Specified",6 Years and 4 Months,1659
CUS_0xf79,2,6,,28 Years and 10 Months,1660
CUS_0x5189,4,3,"Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",8 Years and 3 Months,1661
CUS_0x429a,7,6,"Home Equity Loan, Student Loan, and Student Loan",9 Years and 1 Months,1662
CUS_0xbda9,10,7,"Personal Loan, Student Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Auto Loan",15 Years and 2 Months,1663
CUS_0x8112,1,3,"Personal Loan, and Student Loan",22 Years and 4 Months,1664
CUS_0x31e0,4,394,,20 Years and 10 Months,1665
CUS_0x8f23,3,7,"Payday Loan, Student Loan, and Student Loan",23 Years and 2 Months,1666
CUS_0x6442,7,10,"Mortgage Loan, Not Specified, Mortgage Loan, Payday Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",5 Years and 11 Months,1667
CUS_0x96de,4,3,"Payday Loan, Home Equity Loan, Personal Loan, and Debt Consolidation Loan",5 Years and 10 Months,1668
CUS_0x9970,5,6,"Auto Loan, Home Equity Loan, and Payday Loan",17 Years and 10 Months,1669
CUS_0xbb0b,6,4,"Credit-Builder Loan, Student Loan, Personal Loan, and Student Loan",16 Years and 4 Months,1670
CUS_0x16cf,10,8,"Student Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Not Specified, Payday Loan, and Auto Loan",9 Years and 1 Months,1671
CUS_0x5deb,6,3,"Mortgage Loan, Payday Loan, and Home Equity Loan",18 Years and 5 Months,1672
CUS_0x8a2b,6,6,"Debt Consolidation Loan, Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Not Specified, and Personal Loan",17 Years and 7 Months,1673
CUS_0xb0c1,8,10,"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",2 Years and 4 Months,1674
CUS_0xbc9e,7,7,"Not Specified, Home Equity Loan, Credit-Builder Loan, Not Specified, and Mortgage Loan",11 Years and 8 Months,1675
CUS_0x473a,0,7,"Student Loan, Debt Consolidation Loan, and Mortgage Loan",21 Years and 11 Months,1676
CUS_0x644,2,1,,30 Years and 3 Months,1677
CUS_0x2ad8,7,7,"Not Specified, Personal Loan, Auto Loan, and Student Loan",19 Years and 10 Months,1678
CUS_0x5848,5,3,"Personal Loan, and Debt Consolidation Loan",31 Years and 7 Months,1679
CUS_0x1962,4,6,"Auto Loan, Not Specified, and Mortgage Loan",,1680
CUS_0xd33,8,8,"Student Loan, Not Specified, Home Equity Loan, Personal Loan, Auto Loan, and Personal Loan",19 Years and 2 Months,1681
CUS_0x7a53,6,10,"Personal Loan, Student Loan, Credit-Builder Loan, Payday Loan, Student Loan, and Credit-Builder Loan",11 Years and 2 Months,1682
CUS_0x6734,8,8,"Auto Loan, Payday Loan, Not Specified, Personal Loan, Not Specified, Payday Loan, Auto Loan, Auto Loan, and Mortgage Loan",0 Years and 10 Months,1683
CUS_0x3678,5,7,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Mortgage Loan, Auto Loan, and Personal Loan",6 Years and 10 Months,1684
CUS_0x4ff7,6,8,"Mortgage Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, and Payday Loan",6 Years and 2 Months,1685
CUS_0xa90a,9,8,"Payday Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",2 Years and 7 Months,1686
CUS_0x12ea,8,8,"Home Equity Loan, Not Specified, Personal Loan, Personal Loan, Not Specified, Debt Consolidation Loan, Payday Loan, Mortgage Loan, and Personal Loan",3 Years and 5 Months,1687
CUS_0xac6f,2,3,"Personal Loan, Student Loan, and Home Equity Loan",,1688
CUS_0x68a7,10,8,"Student Loan, Not Specified, Personal Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Debt Consolidation Loan",6 Years and 1 Months,1689
CUS_0x8562,8,6,"Auto Loan, Not Specified, Credit-Builder Loan, Not Specified, Mortgage Loan, Personal Loan, and Student Loan",11 Years and 2 Months,1690
CUS_0x5435,6,5,,27 Years and 4 Months,1691
CUS_0xc649,5,4,"Student Loan, Personal Loan, Not Specified, and Not Specified",32 Years and 1 Months,1692
CUS_0xa446,8,7,"Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",7 Years and 3 Months,1693
CUS_0x6449,0,4,"Mortgage Loan, and Mortgage Loan",28 Years and 3 Months,1694
CUS_0x4d2,6,7,"Not Specified, and Personal Loan",26 Years and 9 Months,1695
CUS_0xc3d0,9,5,"Mortgage Loan, Home Equity Loan, Student Loan, Home Equity Loan, and Personal Loan",8 Years and 8 Months,1696
CUS_0x2543,7,7,"Mortgage Loan, Debt Consolidation Loan, Student Loan, and Auto Loan",,1697
CUS_0x60ad,0,5,"Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",24 Years and 9 Months,1698
CUS_0x82a1,8,8,"Auto Loan, Payday Loan, Mortgage Loan, Mortgage Loan, Personal Loan, Auto Loan, and Payday Loan",5 Years and 2 Months,1699
CUS_0x2ce1,6,6,"Debt Consolidation Loan, Not Specified, Not Specified, Mortgage Loan, Debt Consolidation Loan, and Student Loan",9 Years and 7 Months,1700
CUS_0x38a0,3,6,"Mortgage Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",,1701
CUS_0x906e,6,5,"Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, Student Loan, Personal Loan, Personal Loan, Not Specified, and Credit-Builder Loan",13 Years and 10 Months,1702
CUS_0x399d,5,5,"Credit-Builder Loan, Personal Loan, and Personal Loan",21 Years and 2 Months,1703
CUS_0xbccb,0,4,,27 Years and 3 Months,1704
CUS_0x684a,9,1357,"Auto Loan, Not Specified, Not Specified, Auto Loan, and Home Equity Loan",8 Years and 5 Months,1705
CUS_0x4bdd,4,6,,22 Years and 3 Months,1706
CUS_0x24e9,4,3,"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, and Student Loan",,1707
CUS_0x51db,6,10,"Auto Loan, Mortgage Loan, Personal Loan, Not Specified, Home Equity Loan, and Personal Loan",2 Years and 4 Months,1708
CUS_0x9ae3,5,5,Auto Loan,17 Years and 4 Months,1709
CUS_0x176b,3,6,"Not Specified, Personal Loan, Not Specified, and Not Specified",18 Years and 9 Months,1710
CUS_0x907d,3,5,"Auto Loan, Payday Loan, Mortgage Loan, and Home Equity Loan",24 Years and 8 Months,1711
CUS_0xc21f,9,5,"Personal Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Personal Loan, Student Loan, Student Loan, and Student Loan",8 Years and 8 Months,1712
CUS_0x8e82,5,7,"Payday Loan, and Debt Consolidation Loan",31 Years and 4 Months,1713
CUS_0x8271,4,4,"Not Specified, and Payday Loan",17 Years and 10 Months,1714
CUS_0x45f1,3,3,"Personal Loan, Home Equity Loan, and Personal Loan",16 Years and 5 Months,1715
CUS_0xba93,3,4,"Student Loan, and Payday Loan",23 Years and 9 Months,1716
CUS_0x9ca4,3,6,"Auto Loan, Payday Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, Personal Loan, and Mortgage Loan",16 Years and 10 Months,1717
CUS_0xb433,8,6,"Mortgage Loan, Debt Consolidation Loan, Not Specified, Student Loan, Auto Loan, Personal Loan, Not Specified, Debt Consolidation Loan, and Personal Loan",9 Years and 11 Months,1718
CUS_0x2ca2,1,6,Payday Loan,32 Years and 1 Months,1719
CUS_0x8837,1257,4,"Debt Consolidation Loan, and Mortgage Loan",15 Years and 7 Months,1720
CUS_0x1009,6,5,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan",30 Years and 5 Months,1721
CUS_0x15a3,1,3,"Student Loan, and Payday Loan",20 Years and 11 Months,1722
CUS_0xbc0b,7,5,"Auto Loan, Student Loan, and Home Equity Loan",20 Years and 10 Months,1723
CUS_0x2ac3,5,5,"Credit-Builder Loan, and Personal Loan",17 Years and 8 Months,1724
CUS_0x3793,9,7,"Home Equity Loan, Auto Loan, Mortgage Loan, Student Loan, Payday Loan, and Student Loan",5 Years and 10 Months,1725
CUS_0x4b40,3,6,"Debt Consolidation Loan, Personal Loan, Payday Loan, and Not Specified",20 Years and 11 Months,1726
CUS_0x3640,2,6,"Debt Consolidation Loan, Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",15 Years and 9 Months,1727
CUS_0x8e4e,8,7,"Debt Consolidation Loan, Home Equity Loan, Personal Loan, Student Loan, Debt Consolidation Loan, and Student Loan",14 Years and 7 Months,1728
CUS_0x919,1,7,"Payday Loan, and Mortgage Loan",20 Years and 3 Months,1729
CUS_0x9ad1,8,4,"Student Loan, Student Loan, Home Equity Loan, and Payday Loan",,1730
CUS_0x9ab6,4,4,"Personal Loan, Debt Consolidation Loan, and Credit-Builder Loan",15 Years and 7 Months,1731
CUS_0x2b5d,8,4,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",11 Years and 2 Months,1732
CUS_0x9a29,10,5,"Home Equity Loan, Mortgage Loan, Home Equity Loan, Debt Consolidation Loan, and Not Specified",14 Years and 1 Months,1733
CUS_0x7403,8,7,"Auto Loan, Debt Consolidation Loan, Student Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Credit-Builder Loan",4 Years and 8 Months,1734
CUS_0x85b,5,5,Home Equity Loan,,1735
CUS_0xebb,7,6,"Payday Loan, and Debt Consolidation Loan",23 Years and 4 Months,1736
CUS_0x6fe2,9,7,"Credit-Builder Loan, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",13 Years and 10 Months,1737
CUS_0x16b1,6,5,"Credit-Builder Loan, and Home Equity Loan",28 Years and 2 Months,1738
CUS_0xa53,6,4,"Mortgage Loan, Personal Loan, and Mortgage Loan",22 Years and 9 Months,1739
CUS_0x7df,6,7,"Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, and Student Loan",16 Years and 11 Months,1740
CUS_0x120d,2,7,"Home Equity Loan, Not Specified, Not Specified, and Personal Loan",22 Years and 2 Months,1741
CUS_0x4bb,9,10,"Auto Loan, and Debt Consolidation Loan",7 Years and 4 Months,1742
CUS_0x225a,5,3,"Debt Consolidation Loan, Personal Loan, Home Equity Loan, and Not Specified",24 Years and 2 Months,1743
CUS_0xb88a,4,4,Student Loan,18 Years and 9 Months,1744
CUS_0xc5fe,9,10,"Payday Loan, Not Specified, Personal Loan, Home Equity Loan, and Personal Loan",13 Years and 7 Months,1745
CUS_0x6c45,7,3,"Credit-Builder Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",19 Years and 9 Months,1746
CUS_0x82f2,8,5,"Personal Loan, Payday Loan, Debt Consolidation Loan, Student Loan, and Payday Loan",,1747
CUS_0xb56b,4,4,"Credit-Builder Loan, Student Loan, and Mortgage Loan",21 Years and 9 Months,1748
CUS_0x6133,3,7,,16 Years and 7 Months,1749
CUS_0x4791,9,10,"Debt Consolidation Loan, Mortgage Loan, Student Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",0 Years and 4 Months,1750
CUS_0x221f,10,8,"Not Specified, Personal Loan, Student Loan, Personal Loan, Debt Consolidation Loan, Auto Loan, Student Loan, Student Loan, and Debt Consolidation Loan",2 Years and 9 Months,1751
CUS_0x8559,6,6,,24 Years and 3 Months,1752
CUS_0xaefb,8,7,Credit-Builder Loan,21 Years and 8 Months,1753
CUS_0x9b12,6,3,"Personal Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, Auto Loan, Student Loan, and Payday Loan",12 Years and 5 Months,1754
CUS_0x7563,4,6,"Auto Loan, Not Specified, Payday Loan, Credit-Builder Loan, and Student Loan",,1755
CUS_0x588e,3,5,"Mortgage Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Mortgage Loan",8 Years and 8 Months,1756
CUS_0xc507,7,4,Student Loan,24 Years and 5 Months,1757
CUS_0x93a5,6,7,"Mortgage Loan, Debt Consolidation Loan, and Debt Consolidation Loan",,1758
CUS_0x1f8c,3,6,"Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",5 Years and 1 Months,1759
CUS_0x41de,10,5,"Student Loan, Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, and Personal Loan",8 Years and 7 Months,1760
CUS_0x5c1f,1,6,"Debt Consolidation Loan, Home Equity Loan, and Student Loan",23 Years and 8 Months,1761
CUS_0xa1a0,4,3,"Not Specified, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",17 Years and 5 Months,1762
CUS_0x8304,8,9,"Personal Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Home Equity Loan, and Mortgage Loan",6 Years and 9 Months,1763
CUS_0x13b5,6,6,"Auto Loan, Not Specified, and Mortgage Loan",16 Years and 4 Months,1764
CUS_0x848e,9,6,"Student Loan, Student Loan, Mortgage Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",13 Years and 5 Months,1765
CUS_0x6423,10,7,"Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, and Auto Loan",11 Years and 7 Months,1766
CUS_0xc70d,5,7,"Credit-Builder Loan, Personal Loan, Not Specified, Not Specified, Student Loan, and Not Specified",9 Years and 7 Months,1767
CUS_0x24a8,8,7,,18 Years and 11 Months,1768
CUS_0xc5e2,0,3,"Payday Loan, Debt Consolidation Loan, and Not Specified",25 Years and 3 Months,1769
CUS_0x19ad,7,7,"Payday Loan, Auto Loan, Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, and Not Specified",5 Years and 9 Months,1770
CUS_0x59e9,7,7,"Not Specified, Home Equity Loan, Home Equity Loan, Mortgage Loan, and Home Equity Loan",5 Years and 11 Months,1771
CUS_0x21e9,7,5,"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, and Payday Loan",18 Years and 7 Months,1772
CUS_0x392a,8,10,"Student Loan, and Auto Loan",7 Years and 7 Months,1773
CUS_0x2fb8,6,7,"Credit-Builder Loan, and Not Specified",,1774
CUS_0x6958,3,3,"Auto Loan, Not Specified, and Mortgage Loan",9 Years and 3 Months,1775
CUS_0x4bf7,6,5,"Home Equity Loan, Personal Loan, Mortgage Loan, and Credit-Builder Loan",19 Years and 4 Months,1776
CUS_0x7174,6,6,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Payday Loan",5 Years and 2 Months,1777
CUS_0x47ef,5,7,"Home Equity Loan, Personal Loan, Personal Loan, and Mortgage Loan",25 Years and 4 Months,1778
CUS_0x4d05,2,4,"Not Specified, Personal Loan, and Mortgage Loan",23 Years and 3 Months,1779
CUS_0xb189,7,7,"Home Equity Loan, Student Loan, and Payday Loan",12 Years and 11 Months,1780
CUS_0x5ff4,6,6,"Home Equity Loan, and Debt Consolidation Loan",28 Years and 4 Months,1781
CUS_0xa547,4,3,"Personal Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Auto Loan",17 Years and 5 Months,1782
CUS_0x8e5f,6,5,"Auto Loan, Debt Consolidation Loan, and Payday Loan",31 Years and 1 Months,1783
CUS_0xbded,1,2,"Auto Loan, Home Equity Loan, Student Loan, and Credit-Builder Loan",17 Years and 10 Months,1784
CUS_0x47c3,7,4,,30 Years and 7 Months,1785
CUS_0x5fca,1,3,,30 Years and 7 Months,1786
CUS_0xb047,7,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",9 Years and 4 Months,1787
CUS_0x6e13,1,4,,17 Years and 11 Months,1788
CUS_0xa1bd,8,4,"Credit-Builder Loan, Mortgage Loan, and Payday Loan",28 Years and 5 Months,1789
CUS_0x856c,1033,7,"Student Loan, Home Equity Loan, Personal Loan, Mortgage Loan, Debt Consolidation Loan, Not Specified, Auto Loan, and Personal Loan",13 Years and 2 Months,1790
